Ano;Via;"Quilograma Líquido"
2023;MARITIMA;158010309810
2023;RODOVIARIA;6620809011
2023;"CONDUTO/REDE DE TRANSMISSAO";4423244968
2023;AEREA;228005442
2023;FERROVIARIA;35313000
2023;"MEIOS PROPRIOS";20796129
2023;"ENTRADA/SAIDA FICTA";14232563
2023;COURIER;1269
2023;POSTAL;798
