Economy_Label,Year,TEU_Twenty_foot_Equivalent_Unit_Value
"World",2010,544828190
"World",2011,590669404
"World",2012,620011493
"World",2013,640598987
"World",2014,671267200
"World",2015,680924719
"World",2016,697735292
"World",2017,743556328
"World",2018,780426769
"World",2019,800514594
"World",2020,791651659
"World",2021,848643495
"World",2022,852305736
